start_id,success,obj,impact_t1,min_1_15,B11,B22,B33
4,True,3.269238078997937e-05,-2.7302285836217193,-3.282160357886327,0.1788479698509726,0.22305912871288597,0.18332453820978617
33,True,3.2692380810044324e-05,2.0960575767683935,-0.42037102801192056,0.17884097432207038,0.022013362514435742,0.16141769362033104
47,True,3.2692380846137916e-05,0.3190734941853758,-0.1077249516699269,0.17885462026005775,0.07326049798072325,0.2024585222995944
25,True,3.269238084860872e-05,-73.04113786674158,-89.42787514979584,0.1788424856823454,0.20484675382036963,0.009787275933496705
22,True,3.2692380876436555e-05,-0.7471557505768145,-0.8525004693998831,0.17884989149922742,0.14070369672878394,0.21294335495728361
0,True,3.269238088950058e-05,-0.09639310613254559,-0.09639310613254559,0.17884471253996354,0.09985562876636575,0.20876583931557086
20,True,3.269238091730822e-05,0.04449926742034095,-0.08109384341010839,0.1788518666386409,0.09079494269911807,0.20690556502485183
31,True,3.26923809362293e-05,-69.11794074532341,-84.6211021896747,0.17885234625050403,0.2051726905408,0.010347744800127304
30,True,3.269238094094173e-05,-28.633579153403442,-35.019212460303216,0.1788449966309217,0.21392525394568923,0.025230875033916432
34,True,3.269238094216722e-05,-0.8402940888321485,-0.9666272498584257,0.17885455216135285,0.1462299896869513,0.21289493423205236
16,True,3.269238095799998e-05,-4.032431590879515,-4.877597176255644,0.1788334307791556,0.24028059002101804,0.1518924782406653
27,True,3.269238097164276e-05,-1.9734095935143476,-2.3548877898683043,0.17884492556138534,0.20105260213453635,0.20013713302464675
39,True,3.269238097790296e-05,-2.580196943047935,-3.0983647944486776,0.17884995008760418,0.2195554733602719,0.18691448477718384
38,True,3.269238103418886e-05,-8.326835193615688,-10.13920419260125,0.1788455692017453,0.23878656847357257,0.08572336134566376
48,True,3.269238105217101e-05,-14.928783487229829,-18.22798285024958,0.1788516407378704,0.22565717280265007,0.048672787883193236
37,True,3.2692381154651655e-05,0.8594311546871625,-0.1870228035227408,0.17884854597557343,0.04024351231877854,0.19132435742838513
5,True,3.2692381161930636e-05,-6.655070003465983,-8.090930934347334,0.17884679468318893,0.24257494692162154,0.10469267315744833
11,True,3.2692381167559434e-05,-0.403976860702556,-0.4320472780327022,0.17886104105144746,0.11952063179350142,0.21170547971800288
3,True,3.269238120804412e-05,-45.84097725449794,-56.101974043451186,0.17886166716715682,0.2084004877092864,0.015667217458845435
32,True,3.269238129323089e-05,-4.219850991235589,-5.107320133735631,0.1788560401401286,0.2413297785975765,0.14767667316164076
45,True,3.269238145335239e-05,-140.0549131766322,-171.5338815454339,0.17885706958762804,0.20184083123021934,0.005082442305563171
2,True,3.2692381566091926e-05,-2.7971460804806685,-3.3642195826893375,0.17886465454784775,0.22448031263967244,0.18171071273908737
9,True,3.2692381670651936e-05,-19.139344805224912,-23.38674503447123,0.1788361773294742,0.22059904221502016,0.037923460907121405
21,True,3.269238167803988e-05,-945.6868376409474,-1158.5972339367913,0.17883725073167345,0.19900154892685518,0.0007494140251958172
13,True,3.2692381977237876e-05,1.528876950663712,-0.3051336629790643,0.1788514742286761,0.003987627739456316,0.1753031808909823
7,True,3.269238225952963e-05,1.609314177220323,-0.3214730159286098,0.17886382333238623,4.2392574362159304e-05,0.17332444174973227
40,True,3.269238288308761e-05,1.5732086044610076,-0.31413615321406224,0.17886454959898238,0.0018080491798062035,0.17421828067024614
24,True,3.269238420158456e-05,1.5810157726780034,-0.31571584089688476,0.17887040464280668,0.0014363321208041414,0.1740387208011364
1,True,3.269238488983606e-05,1.6037163596164652,-0.32032726335495837,0.17888870878112992,0.0003355547747127159,0.1734794854597981
26,True,4.445989634566901e-05,-3.2215687474526957e+17,-3.911568325297224e+17,0.1985516836156672,-2.3750695151111562e-17,2.2378607687730766e-18
36,True,4.44598965425911e-05,-5.494044506809854e+19,-6.670767230892487e+19,0.1985534860253837,1.6523294620979435e-20,1.3122244423529137e-20
12,True,4.4459896561762476e-05,4.156932007729247e+18,-8.876792631233084e+17,0.19855719826463314,1.6441136156925677e-18,-1.7343110662805756e-19
19,True,4.458387721903334e-05,-1.9735870635613963,-1.9735870635613963,-8.562189277443625e-19,0.060997637273439494,0.02717991505969586
14,True,4.458387729723603e-05,-34.55676595225394,-40.340601534490894,-2.5938385760958615e-18,0.39844784881915274,0.02114055650150158
23,True,4.458387730419043e-05,-110.31537886658268,-137.29645187819875,8.860776594762272e-19,0.35616452593449094,0.006199348639721215
29,True,4.458387740582574e-05,-37.62804631848336,-44.27114145850203,2.9713138434855046e-18,0.3995023140949449,0.0195712685352269
42,True,4.458387757236088e-05,-27.03369969968383,-30.71417570893935,2.281384191212931e-19,0.3833292085658413,0.025532665229178797
18,True,4.458387767057687e-05,-34.972763808967194,-40.87393267330014,1.373699325335031e-18,0.3987040532164972,0.020919636795234516
15,True,4.458387801388549e-05,-28.239852303731723,-32.258458130858884,2.245045258447497e-18,0.3875063875725578,0.02479638382317693
35,True,4.4583880254081163e-05,-3976381.1538679753,-5089381.56580022,-1.5044900756292825e-17,0.3130847159015902,1.5452041167621257e-07
6,True,4.4583933804519004e-05,257546.2579226539,-53523.12371003384,3.90991663579542e-19,0.3145504902643961,2.3957005543907273e-06
46,True,4.462424472734738e-05,-1.1043474970142826e+19,-1.488695717206989e+19,-3.202549502858117e-18,0.24129403613760683,4.4311254426144704e-20
28,True,4.4626132869530004e-05,-1.8170644115059443e+17,-2.45444155146261e+17,-3.4011513653744923e-18,0.23871555892158905,2.6682856887277317e-18
49,True,4.479450952895038e-05,-4.3560798833205016e+16,-1.8065106165371498e+17,1.0004715028931433e-17,-2.1000528594813166e-18,1.3485303551579151e-18
44,True,4.479450954621787e-05,-1.145532971997286e+18,-4.750649830439803e+18,2.2129079337179045e-18,2.2471653467491272e-19,5.1280013772604444e-20
8,True,4.479450976239678e-05,-3.816266951072505e+16,-1.5826463910645773e+17,-6.642424754321504e-18,-3.688911222630759e-18,1.5392786183875913e-18
17,True,4.481104212205724e-05,2721665355254157.0,-6446275157094604.0,-9.443982259457437e-18,0.022423262451846372,-6.550654063627319e-18
41,True,4.482139536202165e-05,2397448814183494.5,-7.00580123421683e+16,2.1774594303484245e-18,0.036081995303063365,2.989828918437976e-18
43,True,4.5078435593873117e-05,-1.3657667663783346e+17,-1.3724980435680035e+17,1.1902718180908003e-18,0.2574605459605732,-3.0876794662228197e-18
10,True,4.5122394890089526e-05,2.0074329128902704e+17,-6.628835043705642e+16,-1.6161220982017745e-18,0.2767989316189194,2.286890063022071e-18
