start_id,success,objective,impact_t1,min_1_15,max_1_15,B11,B22,B33
6,True,3.269238083564256e-05,1.1985392153216157,-0.24439796696742128,1.5314199376145838,0.17884419015821099,0.02113510723955893,0.183359067032579
74,True,3.269238084377235e-05,-0.04404969490760476,-0.07454345990812182,0.3205139917005395,0.17885386159762448,0.09648918425955141,0.20810249788339075
17,True,3.269238088839734e-05,-0.058747782918921534,-0.07343808336477152,0.3165677675684645,0.17885249510954926,0.09743689830698564,0.20830149135330792
0,True,3.269238088950058e-05,-0.09639310613254559,-0.09639310613254559,0.3066740205448709,0.17884471253996354,0.09985562876636575,0.20876583931557086
75,True,3.2692380907912035e-05,-0.3631109557012238,-0.38194298508575336,0.2778856376209328,0.17885075011415014,0.11692741523485467,0.21140219658818254
87,True,3.269238091343488e-05,-3.5639171223102553,-4.303586055688926,0.8241353480669708,0.17884523543524622,0.23631738215536408,0.16291794111512195
41,True,3.269238091523691e-05,-2.8283162011382927,-3.402305128225995,0.6687561700145903,0.17883607001047455,0.2251443797595959,0.18094096055734438
115,True,3.269238092398181e-05,-2.720111982477786,-3.2697354155811613,0.6458993204966125,0.17883855986846822,0.22284034979879655,0.183565391119079
55,True,3.269238092923634e-05,-1.3908037408994354,-1.6411120358920832,0.39915631838642507,0.17885639882826637,0.17604222123377555,0.20927470462202055
92,True,3.269238093606558e-05,-0.011934267812353993,-0.07692283697842034,0.3289664999991318,0.17884779954919128,0.09442064273468652,0.20767958749530083
64,True,3.2692380953287976e-05,-0.9553044268558706,-1.1074983131918525,0.3212027107007353,0.17885113570279138,0.15288297884776245,0.21259208443658592
72,True,3.26923809565696e-05,-2.8562077541295157,-3.4365202259128074,0.6746389398359574,0.17884950262358765,0.2256995235134164,0.18026455967457594
63,True,3.2692380970742195e-05,1.5144877611223968,-0.30221725687300527,1.9184794645395447,0.17885558835519424,0.004696113080175779,0.1756433985574983
69,True,3.269238098800818e-05,-0.9441953225634659,-1.0938893370376805,0.3192124554138035,0.1788387990685411,0.15224430525219004,0.2126317384982221
16,True,3.2692380994491596e-05,0.41737717227058335,-0.11979237180556597,0.6186247443068065,0.17884119945516191,0.06706605902746571,0.2006333897514609
46,True,3.269238099997302e-05,0.1654889827317544,-0.09006291035719405,0.4102627692324124,0.17885542387187356,0.08303577849254086,0.20507261043983419
76,True,3.269238100014531e-05,19.653139048111644,-4.080024828653004,24.142292885477538,0.1788538256760592,0.17316962724550086,0.03423002899185949
35,True,3.269238100166007e-05,-255.98129966185357,-313.5677910243348,54.1427614024034,0.17884302434878901,0.20035646213564282,0.0027744161904991985
73,True,3.269238100689092e-05,-17.05427971908607,-20.832126576877805,3.673727609442056,0.17884114363019352,0.22286672283022027,0.04259411978812254
8,True,3.269238101293728e-05,-0.7549943353872849,-0.8620961843929987,0.30120990481970894,0.17883747712856884,0.1411686804418512,0.21294336087515145
104,True,3.2692381013305885e-05,-890.1010446743958,-1090.4973168642757,188.0891549285761,0.17885033279996068,0.1990435314374803,0.0007962472367897209
38,True,3.2692381016177015e-05,0.5395332949621763,-0.1347661531295953,0.7475217317512753,0.17886175814868763,0.059483052300763395,0.1982360163687827
82,True,3.269238102737289e-05,-3764.0684073399652,-4611.705413317719,795.1639136851294,0.17884580239170964,0.19863967273067681,0.00018816908085620898
10,True,3.2692381028076615e-05,-32.14870556996881,-39.32601236024095,6.862142738710539,0.17884489901895412,0.21237271840597918,0.022438189972696133
81,True,3.269238103013529e-05,2.675736424060439,-0.5381404416136246,3.341341631580168,0.17883257106214134,0.04424133870075891,0.14797744848985497
68,True,3.269238103751117e-05,1.5732873864474706,-0.3141696694982114,1.990600029529473,0.17883818185452172,0.0017702583691044179,0.17418049973749067
49,True,3.269238105962927e-05,11.603722464445049,-2.3797547160591486,14.279954869463674,0.1788312101154953,0.1549229716722127,0.055288178779091764
4,True,3.2692381063755405e-05,-1.9654164713429785,-2.345092698216405,0.5020633682804594,0.17885772155259996,0.20076400944310238,0.20029102290118717
99,True,3.269238106408309e-05,-3.0837682488214586,-3.7152942622269554,0.7227143841404462,0.1788408113059057,0.22985287353113856,0.17467145384741425
125,True,3.2692381072036656e-05,-80.79333694888633,-98.9257518408231,17.137472426759846,0.17884135059011402,0.20423544626909762,0.00884095898138355
70,True,3.269238108137881e-05,-94.17757776835695,-115.32435083042914,19.96463163918981,0.17884558429942315,0.20344106345223584,0.007575939285313639
93,True,3.2692381086316385e-05,3.7120392163500973,-0.7486692248378988,4.610995144603041,0.1788473920364171,0.07484069986288316,0.12697113928310028
110,True,3.2692381127084595e-05,-0.08799115105765168,-0.08799115105765168,0.30886024135608686,0.17885726977835248,0.09932030513468268,0.20866750024985478
28,True,3.269238121273478e-05,0.20038037434306077,-0.09317191661656365,0.42856057142888476,0.1788583095995703,0.08080508747451462,0.20449841184376505
33,True,3.269238123666278e-05,-386.23043932968136,-473.1506947030319,81.65546155983937,0.17885042256121447,0.19973749218300774,0.0018370222442043486
119,True,3.2692381244544816e-05,0.18513901831968396,-0.09154439693599435,0.4206597914898991,0.17884916092232298,0.08177274589367295,0.20473925597001613
48,True,3.269238126683349e-05,-77.90549835522097,-95.38765197185417,16.527445962484755,0.17884350825414644,0.2044507903753744,0.009171305810707435
66,True,3.269238127350427e-05,-1.667637259401502e+21,-2.0432014476475737e+21,3.522591252878506e+20,0.17884927488568123,0.19850236523606543,4.246361250575973e-22
109,True,3.269238143107854e-05,-8.834802715295048,-10.761522216298635,1.9375157485364147,0.17882952774564026,0.23757416888871927,0.08113301725411128
80,True,3.26923814334165e-05,-73.09358999773757,-89.49219673785454,15.510987413149286,0.17885916527250945,0.20481702239125654,0.009780180299630896
15,True,3.269238150790734e-05,-3.5209489478135887,-4.25088882081925,0.8150700323774795,0.17884246775022564,0.23587050087744965,0.16395340352495158
11,True,3.2692381555322403e-05,-99.23747263725649,-121.52363257354678,21.033474747599147,0.17883087733066327,0.203208577055052,0.00718713215430717
12,True,3.269238169857196e-05,1.5997625824720094,-0.3195368841836708,2.022907270175394,0.1788714329907018,0.000503616872100065,0.17355094738415447
96,True,3.269238186969578e-05,-41.70744317692828,-51.0374558783415,8.88125678432791,0.1788460986821096,0.2093522474379245,0.017239122159930134
56,True,3.26923820303442e-05,1.6102081834348756,-0.3216553514754044,2.0356638273905343,0.1788697921090121,-5.642770216027116e-22,0.17330095605550225
113,True,3.269238219395335e-05,-16.87163823376234,-20.608323447011283,3.635153964958749,0.17883162081655704,0.2231007126727545,0.043057558222511914
59,True,3.269238251244952e-05,1.6088176287753664,-0.3213707791087793,2.033936397087286,0.17887433350139595,7.185115130572109e-05,0.17333950665343217
37,True,3.269238262530646e-05,1.6081332846140661,-0.3212310919971247,2.0330904020071054,0.17887367634804477,0.00010581835900871269,0.17335760181351667
79,True,3.269238266836799e-05,1.597078636089723,-0.3189887036337838,2.019585471048212,0.17886115980628559,0.0006349231691579128,0.17362323338718533
114,True,3.26923828322968e-05,1.58734629952199,-0.31700972399242855,2.007640827620981,0.17884841272176555,0.0011078135141585495,0.17386685938233534
102,True,3.2692382846128455e-05,1.6100301985314962,-0.3216152573757321,2.0354007266828353,0.17886751707510423,1.3024075633217873e-05,0.17331340260620556
30,True,3.269238285270839e-05,1.6097749319170702,-0.32156344087316996,2.035088459154113,0.17887467583760436,2.8225707709669125e-05,0.17331947146595397
58,True,3.269238337940627e-05,1.605614066688644,-0.32071764614200443,2.029984951226413,0.1788779978452963,0.00023219999835904479,0.17342291592810966
32,True,3.2692383836059946e-05,1.5703576695659036,-0.3135533757873348,1.9867690369800184,0.17888361278166537,0.0019601779670151073,0.17429559576971826
122,True,3.269238445627585e-05,1.608776458446837,-0.32139572308125175,2.034267102142825,0.17879986450994825,-3.495168803016547e-21,0.1732732191869356
47,True,3.269238653840984e-05,1.5385759949716091,-0.3070882822091275,1.9477333026886012,0.1788872070952306,0.003541098775105326,0.1750966865699353
121,True,3.2692389390808136e-05,0.6525760968105878,-0.15192705777383497,0.8663911484598801,0.17892505868557437,0.05261890636149439,0.1959534379631063
83,True,3.269263636694252e-05,-3.894225243627181e+20,-4.771522128407379e+20,8.225263167659993e+19,0.17856686560890056,0.1994101015859108,1.818186415941338e-21
95,True,4.341049092041763e-05,4.486386751228644e+17,-3.351518468236272e+17,1.769437639801051e+18,0.04951619403666692,2.498747194400186e-20,-1.3913695511096945e-19
123,True,4.341049133087115e-05,-4.338451671976733e+16,-1.7110732302901325e+17,3.2409678139730324e+16,0.04953044295500973,-1.6129959988726207e-18,1.4388329848325366e-18
78,True,4.445989629112547e-05,9.839133765173543e+19,-2.1010679858141004e+19,1.1946498213890594e+20,0.19855594444593583,1.455224418437024e-20,-7.32728667959448e-21
9,True,4.445989633557211e-05,4.2382828070296634e+17,-9.050515992275514e+16,5.146044644280471e+17,0.19855346210462824,-2.459351238619364e-20,-1.7010238339121036e-18
120,True,4.445989636444789e-05,3.620568273545985e+17,-7.731435485922851e+16,4.3960271844460614e+17,0.19855371756063595,6.8765145513881915e-18,-1.991239797847059e-18
