ydgdp,cs_index_ret,cs_index_vol,savgnatshock,savgpolshock,savgrevshock,savgtershock,countrycode,timecode
2.066085,1.1344,.897597,0,0,0,0,1,162
2.517725,.0490685,.7260391,0,0,0,0,1,163
2.592403,-.3510013,.597581,0,0,0,0,1,164
2.511854,-.1343676,.4853054,0,0,0,0,1,165
2.404071,-.0537933,.4357516,0,0,0,0,1,166
2.432058,.0736566,.2900666,0,0,0,0,1,167
2.386459,-.7700279,.4629209,0,0,0,0,1,168
3.034447,-1.140456,.5953722,0,0,0,0,1,169
3.357517,-.8830687,.6271076,0,0,0,0,1,170
3.446987,-.9634618,.6803983,0,0,0,0,1,171
3.604811,-.3699753,.5037845,0,0,0,0,1,172
3.074907,-.2476618,.2193392,0,0,0,0,1,173
2.620492,-.4386902,.2326207,0,0,0,0,1,174
2.354127,-.545826,.3711008,0,0,0,0,1,175
2.136774,-.271423,.4744083,0,0,0,0,1,176
2.264143,-.3532912,.6297855,.094433,0,0,0,1,177
2.526225,-.4066532,.6828566,.094433,0,0,0,1,178
2.623657,.0357241,.4871581,.094433,0,0,0,1,179
2.581907,-.3604596,.4007238,.094433,0,0,0,1,180
2.511237,-.5292344,.5006741,0,0,0,0,1,181
2.323923,-.3886883,.5228435,0,0,0,0,1,182
2.331265,-.4469281,.6737441,0,0,0,0,1,183
2.447838,-.5912663,1.006799,0,0,0,0,1,184
2.499844,-.289548,1.04514,0,0,0,0,1,185
2.78808,-.4955531,1.161198,0,0,0,0,1,186
2.655347,-.1438485,1.137625,0,0,0,0,1,187
2.59204,.1893965,.7998335,0,0,0,0,1,188
2.367056,.0807222,.650502,0,0,0,0,1,189
2.02662,.2357038,.3279366,0,0,0,0,1,190
2.219641,-.1226624,.1003186,0,0,0,0,1,191
2.102541,-.2565037,.0359503,0,0,0,0,1,192
1.528328,-.2361471,-1.670421,0,0,0,0,2,69
1.528328,-.5744488,-2.051581,0,0,0,0,2,70
1.528328,-.8968269,-2.560496,0,0,0,0,2,71
1.528328,-.286701,-1.965102,0,0,0,0,2,72
1.086408,-.8645502,-1.428484,0,0,0,0,2,73
1.086408,-.4506744,-1.543141,0,0,0,0,2,74
1.086408,-.1021725,-1.599219,0,0,0,0,2,75
1.086408,-.4400899,-1.992149,0,0,0,0,2,76
1.36396,.4253256,-2.849253,0,0,0,0,2,77
2.284704,1.255097,-2.497528,0,0,0,0,2,78
2.920367,1.775916,-1.738784,0,0,0,0,2,79
3.813321,2.490618,-1.372706,0,0,0,0,2,80
3.314364,2.306197,-.4272276,.1451057,0,0,0,2,81
3.549208,2.694618,.0454585,.1451057,0,0,0,2,82
4.085572,1.752134,-.0671442,.1451057,0,0,0,2,83
4.253953,-.3509136,.4351302,.1451057,0,0,0,2,84
4.132282,-.1598629,.2720295,0,0,0,0,2,85
3.632698,-.9195519,.0284644,0,0,0,0,2,86
3.487126,-.6725913,.0988046,0,0,0,0,2,87
3.383688,.1223618,-.3203027,0,0,0,0,2,88
3.366907,-.8450212,-.2498194,0,0,0,0,2,89
3.5457,-.8787042,-.5029033,0,0,0,0,2,90
2.830579,-1.196339,-.6806335,0,0,0,0,2,91
2.071867,-1.456128,-.7970477,0,0,0,0,2,92
1.199626,-1.043478,-.9105043,0,0,0,0,2,93
.2914597,-1.220575,-.7717005,0,0,0,0,2,94
.3621016,-.8172208,-.8973563,0,0,0,0,2,95
.5255376,.1652723,-1.032775,0,0,0,0,2,96
1.660921,.9038525,-1.237686,0,0,0,0,2,97
2.173597,.7236902,-1.410999,0,0,0,0,2,98
2.104473,.5920312,-1.264548,0,0,0,0,2,99
2.373666,-.0114282,-1.565756,0,0,0,0,2,100
2.202871,-.4612606,-1.739446,0,0,0,0,2,101
2.746883,-.9061895,-1.874615,0,0,0,0,2,102
3.082468,-.789094,-1.981668,0,0,0,0,2,103
2.633047,-.660248,-1.880246,0,0,0,0,2,104
2.39527,-.6822605,-1.652139,0,0,0,0,2,105
2.208421,-.0645438,-1.591074,0,0,0,0,2,106
2.02341,-.1087617,-1.561458,0,0,0,0,2,107
2.436664,-.1591304,-1.611527,0,0,0,0,2,108
2.057998,-.0017579,-1.801635,0,0,0,0,2,109
1.44577,.064302,-1.85786,0,0,0,0,2,110
1.791962,.1674269,-1.936921,0,0,0,0,2,111
2.282669,.4659505,-1.605422,0,0,0,0,2,112
3.071014,.2707582,-1.270176,0,0,0,0,2,113
4.029982,.6025881,-.9440459,0,0,0,0,2,114
4.088241,.656862,-.7334213,0,0,0,0,2,115
3.715668,-.2451053,-.3199658,0,0,0,0,2,116
3.424489,-.0758866,-.2332455,.1029336,0,0,0,2,117
